Problem ID;Items count;Known result;Brute force result;Time [s];Relative error;Cost to weight ration heuristics result;Time [s];Relative error
9057;10;1153;1153;0.0007380965253686889667401455;0;1140;0.00001094997163272973895952;0.0112749349522983521248915872
9058;10;1234;1234;0.0007052466104704997498615855;0;1220;0.00001026559840568413027455;0.0113452188006482982171799028
9059;10;1260;1260;0.0008308290976333689435535806;0;1222;0.000010607785019206934617035;0.0301587301587301587301587302
9060;10;1319;1319;0.0007493886836149415100421505;0;1319;0.000009923411792161325932065;0
9061;10;1169;1169;0.0009557272115691925285606057;0;1169;0.000011976531473298151986975;0
9062;10;99;99;0.0007613652150882396620291256;0;90;0.000009923411792161325932065;0.0909090909090909090909090909
9063;10;1023;1023;0.0007487043103878959013571805;0;1023;0.000010607785019206934617035;0
9064;10;1389;1389;0.0008363040834497338130333406;0;1330;0.000011976531473298151986975;0.0424766018718502519798416127
9065;10;1168;1168;0.0007161965821032294888211055;0;984;0.00001163434485977534764449;0.1575342465753424657534246575
9066;10;1024;1024;0.0009334850816902102462990807;0;1024;0.00001094997163272973895952;0
9067;10;1195;1195;0.0007079841033786821846014655;0;1194;0.000009923411792161325932065;0.0008368200836820083682008368
9068;10;872;872;0.0007223559411466399669858355;0;872;0.000009923411792161325932065;0
9069;10;1099;1099;0.0006984028782000436630118855;0;1037;0.00000958122517863852158958;0.0564149226569608735213830755
9070;10;1286;1286;0.0007938729433729060745652006;0;1286;0.0005824016162158129909094704;0
9071;10;1178;1178;0.0008079025945273410526070856;0;1178;0.000011292158246252543302005;0
9072;10;1217;1217;0.0007942151299864288789076856;0;1113;0.000011292158246252543302005;0.0854560394412489728841413311
9073;10;939;939;0.0007377543387551661623976605;0;863;0.00001094997163272973895952;0.0809371671991480298189563365
9074;10;784;784;0.0007175653285573207061910455;0;737;0.00001505621099500339106934;0.059948979591836734693877551
9075;10;1240;1240;0.0008024276087109761831273256;0;1240;0.000010607785019206934617035;0
9076;10;917;917;0.0006723966955723105329830255;0;839;0.00000958122517863852158958;0.0850599781897491821155943293
9077;10;1033;1033;0.0007244090608277767930407455;0;1033;0.00001094997163272973895952;0
9078;10;1386;1386;0.0009002929801784982250780357;0;1368;0.00001094997163272973895952;0.012987012987012987012987013
9079;10;1266;1266;0.0008082447811408638569495706;0;1067;0.000010607785019206934617035;0.1571879936808846761453396524
9080;10;1054;1054;0.0006563139247367387288862305;0;933;0.000010607785019206934617035;0.1148007590132827324478178368
9081;10;980;980;0.0006925857057701559891896405;0;919;0.00000821247872454730421964;0.0622448979591836734693877551
9082;10;952;952;0.0006710279491182193156130855;0;952;0.000010607785019206934617035;0
9083;10;1446;1446;0.0008931070612945193338858507;0;1310;0.00001026559840568413027455;0.0940525587828492392807745505
9084;10;1196;1196;0.0008458853086283723346229206;0;1196;0.000014029651154434978041885;0
9085;10;1062;1062;0.0008171416330924567698541806;0;955;0.000010607785019206934617035;0.1007532956685499058380414313
9086;10;748;748;0.0006484436326257142290090755;0;748;0.00000958122517863852158958;0
9087;10;1059;1059;0.0006320186751766196205697955;0;1059;0.000009923411792161325932065;0
9088;10;1578;1578;0.0009197976171492980725996807;0;1578;0.000011292158246252543302005;0
9089;10;694;694;0.0007309106064847100755479605;0;660;0.00001094997163272973895952;0.0489913544668587896253602305
9090;10;1143;1143;0.0008551243471934880518700156;0;1139;0.000011292158246252543302005;0.0034995625546806649168853893
9091;10;1043;1043;0.0008472540550824635519928606;0;1043;0.00001163434485977534764449;0
9092;10;1436;1436;0.0007955838764405200962776256;0;1436;0.00001231871808682095632946;0
9093;10;1368;1368;0.0009163757510140700291748307;0;1368;0.0000136874645409121736994;0
9094;10;1315;1315;0.0007541792962042607708369406;0;1315;0.000035929594419894455960925;0
9095;10;1005;1005;0.0008359618968362110086908556;0;967;0.00001300309131386656501443;0.0378109452736318407960199005
9096;10;1187;1187;0.0009382756942795295070938707;0;1137;0.000009923411792161325932065;0.042122999157540016849199663
9097;10;959;959;0.0008770242904589475297890556;0;959;0.00001094997163272973895952;0
9098;10;925;925;0.0008653899455991721821445656;0;883;0.00001984682358432265186413;0.0454054054054054054054054054
9099;10;1243;1243;0.0008530712275123512258151056;0;1224;0.00001300309131386656501443;0.0152855993563958165728077233
9100;15;2358;2358;0.0350734435128603994960275556;0;2225;0.00002121557003841386923407;0.0564037319762510602205258694
9101;15;1726;1726;0.0323937801423633186900275186;0;1726;0.000018135890516708630151705;0
9102;15;2064;2064;0.0334822757599793593034723044;0;2023;0.00002258431649250508660401;0.0198643410852713178294573643
9103;15;1485;1485;0.0343856484196795627676327051;0;1458;0.000024295249560119108316435;0.0181818181818181818181818182
9104;15;1479;1479;0.0332742262989574942632414243;0;1445;0.00002395306294659630397395;0.0229885057471264367816091954
9105;15;1852;1852;0.0346309962215754134811944503;0;1852;0.000023610876333073499631465;0
9106;15;1987;1987;0.0348410988022784153474802404;0;1987;0.00002395306294659630397395;0
9107;15;1636;1636;0.0345594792193491473736150852;0;1616;0.00002395306294659630397395;0.0122249388753056234718826406
9108;15;1664;1664;0.0346049900389476803511655903;0;1664;0.00002326868971955069528898;0
9109;15;1806;1806;0.0340910257454364282287531199;0;1806;0.00002326868971955069528898;0
9110;15;2084;2084;0.0333573776460435357184652794;0;2017;0.000025663996014210325686375;0.0321497120921305182341650672
9111;15;1454;1454;0.0349536781981274179761578055;0;1454;0.00002326868971955069528898;0
9112;15;1627;1627;0.0329970551420040227458285741;0;1602;0.00002189994326545947791904;0.0153657037492317148125384143
